Symbol,Company Name,Security Price,Volume (90 Day Avg),Market Capitalization,Dividend Yield,Company Headquarters Location,Sector,Industry,Optionable
AWR,American States Water Co,84.77,0.17397,$3.13B,1.87566,United States of America,Utilities,Water Utilities,Yes (Option Chain)
WSFS,WSFS Financial Corp,49.08,0.33307,$3.12B,1.22249,United States of America,Financials,Thrifts & Mortgage Finance,Yes (Option Chain)
LAZR,Luminar Technologies Inc,8.71,6.39975,$3.12B,,United States of America,Consumer Discretionary,Auto Components,Yes (Option Chain)
SFNC,Simmons First National Corp,24.28,0.72287,$3.12B,3.13015,United States of America,Financials,Banks,Yes (Option Chain)
NWE,NorthWestern Corp,55.45,0.3515,$3.11B,4.54463,United States of America,Utilities,Multi-Utilities,Yes (Option Chain)
AVA,Avista Corp,42.64,0.4167,$3.11B,4.12758,United States of America,Utilities,Multi-Utilities,Yes (Option Chain)
EPRT,Essential Properties Realty Trust Inc.,23.28,0.88713,$3.11B,4.63918,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
SMTC,Semtech Corp,48.99,0.54887,$3.11B,,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
VRNS,Varonis Systems Inc,28.25,1.22337,$3.10B,,United States of America,Information Technology,Software,Yes (Option Chain)
AWCMY,Alumina Ltd,4.27,0.00621,$3.10B,6.55738,Australia,Materials,Metals & Mining,No
ASB,Associated Banc-Corp,20.59,1.4108,$3.09B,3.88538,United States of America,Financials,Banks,Yes (Option Chain)
ARCH,Arch Coal Inc,166.8,0.75588,$3.09B,0.59952,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
HELE,Helen of Troy Ltd,128.98,0.24729,$3.09B,,United States of America,Consumer Discretionary,Household Durables,Yes (Option Chain)
FHI,Federated Hermes Inc,34.61,0.71612,$3.09B,3.12049,United States of America,Financials,Capital Markets,Yes (Option Chain)
NOMD,Nomad Foods Ltd,17.84,0.7049,$3.08B,,United Kingdom,Consumer Staples,Food Products,Yes (Option Chain)
WE,WeWork Inc,4.22,6.24873,$3.08B,,United States of America,Real Estate,Real Estate Management & Development,No
HPK,HighPeak Energy Inc,28.01,0.38146,$3.06B,0.35702,United States of America,Energy,"Oil, Gas & Consumable Fuels",No
PAGP,Plains GP Holdings LP,12.69,2.84718,$3.06B,6.85579,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
PSEC,Prospect Capital Corp,7.8,1.6332,$3.06B,9.23077,United States of America,Financials,Capital Markets,Yes (Option Chain)
MATX,Matson Inc,78.32,0.40339,$3.05B,1.58325,United States of America,Industrials,Marine,Yes (Option Chain)
SMR,NuScale Power Corp,13.8,0.81295,$3.05B,,United States of America,Industrials,Electrical Equipment,No
OUT,Outfront Media Inc,18.54,1.7332,$3.04B,6.47249,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
UGP,Ultrapar Participacoes SA,2.78,1.36675,$3.03B,5.49619,Brazil,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
CEQP,Crestwood Equity Partners LP,27.76,0.56202,$3.03B,9.43804,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
HI,Hillenbrand Inc,43.65,0.34586,$3.03B,1.99313,United States of America,Industrials,Machinery,Yes (Option Chain)
TCBI,Texas Capital Bancshares Inc,60.72,0.49593,$3.03B,,United States of America,Financials,Banks,Yes (Option Chain)
STEP,StepStone Group Inc,27.94,0.35135,$3.03B,2.86328,United States of America,Financials,Capital Markets,Yes (Option Chain)
VSCO,Victorias Secret and Co,36.4,1.61573,$3.02B,,United States of America,Consumer Discretionary,Specialty Retail,No
CXM,Sprinklr Inc,11.71,0.48793,$3.02B,,United States of America,Information Technology,Software,No
MXL,MaxLinear Inc,38.55,0.85096,$3.02B,,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
NVMI,Nova Ltd,105.14,0.13454,$3.02B,,Israel,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
KMPR,Kemper Corp,47.16,0.32038,$3.01B,2.62935,United States of America,Financials,Insurance,Yes (Option Chain)
CRI,Carter's Inc.,76.94,0.74879,$3.00B,3.89914,United States of America,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Yes (Option Chain)
ACA,Arcosa Inc,62.04,0.18746,$3.00B,0.32237,United States of America,Industrials,Construction & Engineering,Yes (Option Chain)
TNDM,Tandem Diabetes Care Inc,46.68,0.94661,$3.00B,,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
MC,Moelis & Co,43.56,0.53588,$3.00B,5.50964,United States of America,Financials,Capital Markets,Yes (Option Chain)
BKU,BankUnited Inc,38.34,0.77039,$2.99B,2.60824,United States of America,Financials,Banks,Yes (Option Chain)
PFHC,ProFrac Holding Corp,20.94,,$2.98B,,United States of America,Energy,Energy Equipment & Services,No
JAMF,Jamf Holding Corp,24.68,0.48361,$2.98B,,United States of America,Information Technology,Software,Yes (Option Chain)
TMHC,Taylor Morrison Home Corporation,26.18,1.15719,$2.98B,,United States of America,Consumer Discretionary,Household Durables,Yes (Option Chain)
AGI,Alamos Gold Inc,7.59,4.39945,$2.97B,1.31752,Canada,Materials,Metals & Mining,Yes (Option Chain)
DORM,Dorman Products Inc,94.56,0.11466,$2.97B,,United States of America,Consumer Discretionary,Auto Components,Yes (Option Chain)
ENV,Envestnet Inc,53.81,0.49071,$2.97B,,United States of America,Information Technology,Software,Yes (Option Chain)
PEGA,Pegasystems Inc,36.24,0.60015,$2.97B,0.33113,United States of America,Information Technology,Software,Yes (Option Chain)
JJSF,J & J Snack Foods Corp,154.43,0.09805,$2.96B,1.81312,United States of America,Consumer Staples,Food Products,Yes (Option Chain)
OFC,Corporate Office Properties Trust,26.36,0.73659,$2.96B,4.17299,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
JKS,JinkoSolar Holding Co Ltd,59.78,1.2845,$2.96B,,China,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
NHI,National Health Investors Inc.,66.27,0.27705,$2.96B,5.43232,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
EQC,Equity Commonwealth,26.55,0.6912,$2.95B,,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
SSRM,SSR Mining Inc,14.15,2.44513,$2.95B,1.9788,United States of America,Materials,Metals & Mining,Yes (Option Chain)
MTH,Meritage Homes Corp,80.46,0.36149,$2.94B,,United States of America,Consumer Discretionary,Household Durables,Yes (Option Chain)
BDC,Belden Inc,67.59,0.29234,$2.94B,0.2959,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",Yes (Option Chain)
INSM,Insmed Inc,24.5,1.21483,$2.94B,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
GPI,Group 1 Automotive Inc.,185.83,0.16772,$2.93B,0.81795,United States of America,Consumer Discretionary,Specialty Retail,Yes (Option Chain)
TCN,Tricon Residential Inc,10.69,0.93723,$2.93B,2.17025,Canada,Real Estate,Real Estate Management & Development,No
MRM,Medirom Healthcare Technologies Inc,6.725,,$2.93B,,Japan,Consumer Discretionary,Diversified Consumer Services,No
LBRT,Liberty Energy Inc,15.63,3.16867,$2.93B,,United States of America,Energy,Energy Equipment & Services,Yes (Option Chain)
CVET,Covetrus Inc,20.84,1.693,$2.92B,,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
LXP,LXP Industrial Trust,10.42,2.01301,$2.92B,4.60653,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
VSAT,ViaSat Inc.,38.58,0.43898,$2.91B,,United States of America,Information Technology,Communications Equipment,Yes (Option Chain)
CIG/C,Companhia Energetica de Minas Gerais CEMIG,3.96,0.08645,$2.91B,8.68851,Brazil,Utilities,Electric Utilities,No
SQSP,SquareSpace Inc,20.93,0.63302,$2.91B,,United States of America,Information Technology,IT Services,No
RMBS,Rambus Inc,26.33,0.74291,$2.91B,,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
LSPD,Lightspeed Commerce Inc,19.42,1.19466,$2.90B,,Canada,Information Technology,Software,Yes (Option Chain)
PZZA,Papa John's International Inc,82.03,0.5282,$2.90B,2.04803,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
OPEN,Opendoor Technologies Inc,4.61,18.35984,$2.90B,,United States of America,Real Estate,Real Estate Management & Development,Yes (Option Chain)
HUBG,Hub Group Inc,83.52,0.23761,$2.89B,,United States of America,Industrials,Air Freight & Logistics,Yes (Option Chain)
HLF,Herbalife Nutrition Ltd,26.82,1.45909,$2.89B,,United States of America,Consumer Staples,Personal Products,Yes (Option Chain)
MGEE,MGE Energy Inc,79.92,0.12607,$2.89B,2.03954,United States of America,Utilities,Electric Utilities,Yes (Option Chain)
SANM,Sanmina Corp,49.99,0.43898,$2.89B,,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",Yes (Option Chain)
BLKB,Blackbaud Inc,54.48,0.35454,$2.89B,,United States of America,Information Technology,Software,Yes (Option Chain)
NOVA,Sunnova Energy International Inc,25.19,3.31315,$2.89B,,United States of America,Utilities,Independent Power and Renewable Electricity Producers,Yes (Option Chain)
SLG,SL Green Realty Corp,44.91,0.00218,$2.89B,8.30461,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
SITC,Site Centers Corp,13.49,2.14443,$2.89B,3.85471,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
AZEK,AZEK Company Inc (The),18.97,2.12698,$2.89B,,United States of America,Industrials,Building Products,Yes (Option Chain)
VSH,Vishay Intertechnology Inc.,20.2,1.01457,$2.88B,1.9802,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",Yes (Option Chain)
CRGY,Crescent Energy Company,17.01,0.31341,$2.88B,3.99765,United States of America,Energy,"Oil, Gas & Consumable Fuels",No
SI,Silvergate Capital Corporation,91.07,1.15087,$2.88B,,United States of America,Financials,Banks,Yes (Option Chain)
JWN,Nordstrom Inc.,18.04,6.08957,$2.88B,4.21286,United States of America,Consumer Discretionary,Multiline Retail,Yes (Option Chain)
EE,Excelerate Energy Inc,26.61,0.74752,$2.88B,0.3758,United States of America,Energy,"Oil, Gas & Consumable Fuels",No
NEU,NewMarket Corp,287.64,0.0334,$2.88B,2.92032,United States of America,Materials,Chemicals,Yes (Option Chain)
AMR,Alpha Metallurgical Resource Inc,165.34,0.69176,$2.86B,0.94835,United States of America,Materials,Metals & Mining,Yes (Option Chain)
CSIQ,Canadian Solar Inc,44.55,1.08841,$2.86B,,Canada,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
CORT,Corcept Therapeutics Inc,26.72,0.76939,$2.86B,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
PFSI,PennyMac Financial Services Inc,54.44,0.50696,$2.86B,1.46951,United States of America,Financials,Thrifts & Mortgage Finance,Yes (Option Chain)
TRUP,Trupanion Inc,69.91,0.47038,$2.85B,,United States of America,Financials,Insurance,Yes (Option Chain)
IBTX,Independent Bank Group Inc,69.1,0.20297,$2.84B,2.19971,United States of America,Financials,Banks,Yes (Option Chain)
BMI,Badger Meter Inc.,97.07,0.12434,$2.84B,0.92717,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",Yes (Option Chain)
ENOV,Enovis Corporation,52.3,0.38979,$2.83B,,United States of America,Health Care,Health Care Equipment & Supplies,No
AAWW,Atlas Air Worldwide Holdings Inc.,99.87,0.77762,$2.83B,,United States of America,Industrials,Air Freight & Logistics,Yes (Option Chain)
AIN,Albany International Corp.,90.79,0.12879,$2.82B,0.92521,United States of America,Industrials,Machinery,Yes (Option Chain)
MAKSY,Marks and Spencer Group PLC,2.87,,$2.82B,,United Kingdom,Consumer Staples,Food & Staples Retailing,No
MSTR,MicroStrategy Inc,249.2,0.87769,$2.82B,,United States of America,Information Technology,Software,Yes (Option Chain)
HRMY,Harmony Biosciences Holdings Inc,47.6,0.56209,$2.82B,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
MRCY,Mercury Systems Inc,48.69,0.4237,$2.81B,,United States of America,Industrials,Aerospace & Defense,Yes (Option Chain)
ULCC,Frontier Group Holdings Inc,12.9,2.4947,$2.81B,,United States of America,Industrials,Airlines,No
MLCO,Melco Resorts & Entertainment Ltd,5.88,4.34527,$2.81B,,Hong Kong,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
MEOH,Methanex Corp,39.89,0.4977,$2.80B,1.75483,Canada,Materials,Chemicals,Yes (Option Chain)
CNMD,CONMED Corp,91.9,0.44394,$2.80B,0.87051,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
PDCO,Patterson Cos Inc,28.75,0.76579,$2.80B,3.61739,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
PRFT,Perficient Inc,80.75,0.23276,$2.79B,,United States of America,Information Technology,IT Services,Yes (Option Chain)
FBP,First BanCorp (Puerto Rico),14.84,1.79195,$2.79B,3.2345,United States of America,Financials,Banks,Yes (Option Chain)
GHC,Graham Holdings Co,575.5,0.01653,$2.79B,1.09818,United States of America,Consumer Discretionary,Diversified Consumer Services,No
FULT,Fulton Financial Corp,16.63,1.16246,$2.78B,3.60794,United States of America,Financials,Banks,Yes (Option Chain)
APAM,Artisan Partners Asset Management Inc,34.65,0.51525,$2.76B,6.92641,United States of America,Financials,Capital Markets,Yes (Option Chain)
ALHC,Alignment Healthcare Inc,14.73,0.47806,$2.76B,,United States of America,Health Care,Health Care Providers & Services,No
CRVL,CorVel Corp.,158.45,0.03861,$2.76B,,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
NVAX,Novavax Inc,35.2,6.8862,$2.75B,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
ACIW,ACI Worldwide Inc,24.12,0.67678,$2.75B,,United States of America,Information Technology,Software,Yes (Option Chain)
FWRD,Forward Air Corp,102.44,0.15819,$2.75B,0.93713,United States of America,Industrials,Air Freight & Logistics,Yes (Option Chain)
CWEN/A,Clearway Energy Inc,35.56,0.00134,$2.75B,4.05399,United States of America,Utilities,Independent Power and Renewable Electricity Producers,Yes (Option Chain)
GTBIF,Green Thumb Industries Inc,13.26,0.40328,$2.75B,,United States of America,Health Care,Pharmaceuticals,No
NGVT,Ingevity Corp,72.04,0.19155,$2.74B,,United States of America,Materials,Chemicals,Yes (Option Chain)
JXN,Jackson Financial Inc,32.26,1.35353,$2.74B,6.81959,United States of America,Financials,Diversified Financial Services,No
FLYW,Flywire Corp,25.14,1.00695,$2.72B,,United States of America,Information Technology,IT Services,No
SRUUF,Sprott Physical Uranium Trust Fund,11.765,,$2.72B,,Canada,--,--,No
ARNC,Arconic Corp,26.4,0.96951,$2.71B,,United States of America,Materials,Metals & Mining,Yes (Option Chain)
DKL,Delek Logistics Partners LP,62.31,0.0619,$2.71B,6.32322,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
UNFI,United Natural Foods Inc,46.48,0.43632,$2.71B,,United States of America,Consumer Staples,Food & Staples Retailing,Yes (Option Chain)
AXSM,Axsome Therapeutics Inc,67.13,1.75424,$2.71B,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
WIRE,Encore Wire Corp,141.4,0.25703,$2.70B,0.05658,United States of America,Industrials,Electrical Equipment,Yes (Option Chain)
WOR,Worthington Industries Inc.,54.53,0.21133,$2.70B,2.27398,United States of America,Materials,Metals & Mining,Yes (Option Chain)
CPE,Callon Petroleum Co/DE,43.69,1.9087,$2.70B,,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
LOPE,Grand Canyon Education Inc,84.34,0.34113,$2.70B,,United States of America,Consumer Discretionary,Diversified Consumer Services,Yes (Option Chain)
IIPR,Innovative Industrial Properties Inc,96.35,0.31828,$2.70B,7.26518,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
STNE,StoneCo Ltd,9.6,8.35145,$2.69B,,Cayman Islands,Information Technology,IT Services,Yes (Option Chain)
TAC,TransAlta Corp,9.94,0.35468,$2.69B,1.55679,Canada,Utilities,Independent Power and Renewable Electricity Producers,No
FSR,Fisker Inc,9.0,5.92422,$2.69B,,United States of America,Consumer Discretionary,Automobiles,Yes (Option Chain)
WEBR,Weber Inc,9.34,1.38076,$2.69B,1.71306,United States of America,Consumer Discretionary,Household Durables,No
MNSO,MINISO Group Holding Ltd,6.73,0.93533,$2.68B,27.81575,China,Consumer Discretionary,Multiline Retail,Yes (Option Chain)
NEE/PP,NextEra Energy Inc,53.67,0.17376,$2.68B,4.9182,United States of America,Utilities,Electric Utilities,No
INMD,INMODE LTD,32.21,2.06032,$2.68B,,Israel,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
RLAY,Relay Therapeutics Inc,24.57,1.00845,$2.68B,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
ACAD,Acadia Pharmaceuticals Inc,16.53,2.39278,$2.68B,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
SPB,Spectrum Brands Holdings Inc,65.59,0.33682,$2.67B,2.56137,United States of America,Consumer Staples,Household Products,Yes (Option Chain)
CEIX,CONSOL Energy Inc,76.62,0.77919,$2.67B,,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
FATE,Fate Therapeutics Inc,27.53,1.55523,$2.67B,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
SPXC,SPX Technologies Inc,59.06,0.22092,$2.67B,,United States of America,Industrials,Machinery,Yes (Option Chain)
LESL,Leslie's Inc,14.58,1.97163,$2.67B,,United States of America,Consumer Discretionary,Specialty Retail,Yes (Option Chain)
TCNNF,Trulieve Cannabis Corp,14.35,0.27465,$2.67B,,United States of America,Health Care,Pharmaceuticals,No
IBP,Installed Building Products Inc,92.73,0.20688,$2.67B,1.35878,United States of America,Consumer Discretionary,Household Durables,Yes (Option Chain)
BCO,Brink's Co (The),56.23,0.28417,$2.66B,1.42273,United States of America,Industrials,Commercial Services & Supplies,Yes (Option Chain)
BCC,Boise Cascade Co,67.34,0.35917,$2.66B,0.7128,United States of America,Industrials,Trading Companies & Distributors,Yes (Option Chain)
SGRY,Surgery Partners Inc,29.51,0.54315,$2.65B,,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
BCRX,BioCryst Pharmaceuticals Inc,14.26,3.52215,$2.65B,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
XRX,Xerox Holdings Corp,17.04,2.25381,$2.65B,5.86854,United States of America,Information Technology,"Technology Hardware, Storage & Peripherals",Yes (Option Chain)
EYE,National Vision Holdings Inc,33.57,1.64624,$2.65B,,United States of America,Consumer Discretionary,Specialty Retail,Yes (Option Chain)
FRO,Frontline Ltd,11.89,2.77002,$2.65B,,Bermuda,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
CCOI,Cogent Communications Holdings Inc,55.01,0.26412,$2.64B,6.58062,United States of America,Communication Services,Diversified Telecommunication Services,Yes (Option Chain)
ROIV,Roivant Sciences Ltd,3.75,0.88743,$2.64B,,United Kingdom,Health Care,Pharmaceuticals,No
PBH,Prestige Consumer Healthcare Inc,53.02,0.26907,$2.64B,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
CERT,Certara Inc,16.5,0.66196,$2.64B,,United States of America,Health Care,Health Care Technology,Yes (Option Chain)
EBR/B,Centrais Eletricas Brasileiras Sa-Eletrobras,9.415,0.06995,$2.64B,3.33884,Brazil,Utilities,Electric Utilities,No
IBOC,International Bancshares Corp,42.33,0.22647,$2.63B,2.83487,United States of America,Financials,Banks,Yes (Option Chain)
WERN,Werner Enterprises Inc.,41.5,0.69666,$2.63B,1.25301,United States of America,Industrials,Road & Rail,Yes (Option Chain)
THS,TreeHouse Foods Inc,46.95,0.42049,$2.63B,,United States of America,Consumer Staples,Food Products,Yes (Option Chain)
BIO/B,Bio-Rad Laboratories Inc,518.95,0.00045,$2.63B,,United States of America,Health Care,Life Sciences Tools & Services,No
CWH,Camping World Holdings Inc,31.54,1.18997,$2.63B,7.53012,United States of America,Consumer Discretionary,Specialty Retail,Yes (Option Chain)
AHCO,AdaptHealth Corp,19.5,1.54017,$2.62B,,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
RIG,Transocean Ltd,3.71,18.74074,$2.62B,,Switzerland,Energy,Energy Equipment & Services,Yes (Option Chain)
ENS,EnerSys,64.28,0.23625,$2.61B,1.08899,United States of America,Industrials,Electrical Equipment,Yes (Option Chain)
PLXS,Plexus Corp,94.27,0.12102,$2.61B,,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",Yes (Option Chain)
TIGO,Millicom International Cellular SA,15.16,0.16832,$2.61B,,Luxembourg,Communication Services,Wireless Telecommunication Services,No
WDFC,WD-40 Co,191.05,0.0997,$2.60B,1.63308,United States of America,Consumer Staples,Household Products,Yes (Option Chain)
AIMC,Altra Industrial Motion Corp,40.01,0.24228,$2.60B,0.89978,United States of America,Industrials,Machinery,Yes (Option Chain)
CVT,Cvent Holding Corp,5.39,0.51244,$2.60B,,United States of America,Information Technology,Software,No
NKLA,Nikola Corp,6.0,11.38322,$2.60B,,United States of America,Industrials,Machinery,Yes (Option Chain)
JBLU,JetBlue Airways Corp,8.03,10.82024,$2.60B,,United States of America,Industrials,Airlines,Yes (Option Chain)
AX,Axos Financial Inc.,43.49,0.33732,$2.60B,,United States of America,Financials,Thrifts & Mortgage Finance,Yes (Option Chain)
IPAR,Inter Parfums Inc,81.47,0.09984,$2.60B,2.45489,United States of America,Consumer Staples,Personal Products,Yes (Option Chain)
ESAB,ESAB Corporation,43.16,0.38835,$2.59B,0.46339,United States of America,Industrials,Machinery,No
SAFE,Safehold Inc,41.62,0.24458,$2.59B,1.70111,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
ABR,Arbor Realty Trust Inc.,15.17,2.50677,$2.58B,10.28345,United States of America,Financials,Mortgage Real Estate Investment Trusts (REITs),Yes (Option Chain)
JBGS,JBG SMITH Properties,22.57,0.93111,$2.58B,3.98759,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
CMTG,Claros Mortgage Trust Inc,18.49,0.50259,$2.58B,8.00433,United States of America,Financials,Mortgage Real Estate Investment Trusts (REITs),No
SIMO,Silicon Motion Technology Corp,78.02,0.65942,$2.58B,2.56345,Hong Kong,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
TTEC,TTEC Holdings Inc,54.58,0.10253,$2.58B,1.83217,United States of America,Information Technology,IT Services,Yes (Option Chain)
KBH,KB Home,29.54,1.77962,$2.57B,2.03114,United States of America,Consumer Discretionary,Household Durables,Yes (Option Chain)
AUR,Aurora Innovation Inc,2.23,3.83885,$2.57B,,United States of America,Industrials,Commercial Services & Supplies,No
TKC,Turkcell Iletisim Hizmet AS,2.91,0.56654,$2.56B,10.23337,Turkey,Communication Services,Wireless Telecommunication Services,Yes (Option Chain)
IFS,Intercorp Financial Services Inc,22.18,0.04842,$2.56B,7.88999,Peru,Financials,Banks,No
TELL,Tellurian Inc,4.5,17.90992,$2.56B,,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
QFIN,360 Digitech Inc,16.47,0.89544,$2.56B,4.37158,China,Financials,Consumer Finance,Yes (Option Chain)
KLIC,Kulicke and Soffa Industries Inc,44.02,0.75961,$2.56B,1.54475,Singapore,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
ZGN,Ermenegildo Zegna N V,10.54,0.14827,$2.55B,3.5071,Italy,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",No
USM,United States Cellular Corp,29.77,0.115,$2.55B,,United States of America,Communication Services,Wireless Telecommunication Services,Yes (Option Chain)
SAVE,Spirit Airlines Inc,23.34,3.28942,$2.54B,,United States of America,Industrials,Airlines,Yes (Option Chain)
LTH,Life Time Group Holdings Inc,13.04,0.37842,$2.53B,,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",No
ZNH,China Southern Airlines Co Ltd,27.19,0.01309,$2.53B,,China,Industrials,Airlines,Yes (Option Chain)
CNVAF,CNOVA NV,7.3,,$2.52B,,Netherlands,Consumer Discretionary,Internet & Direct Marketing Retail,No
CBRL,Cracker Barrel Old Country Store Inc,110.44,0.44693,$2.52B,4.70844,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
FOUR,Shift4 Payments Inc,45.91,1.12592,$2.51B,,United States of America,Information Technology,IT Services,Yes (Option Chain)
OZON,Ozon Holdings PLC,11.6,,$2.51B,,Cyprus,Consumer Discretionary,Internet & Direct Marketing Retail,Yes (Option Chain)
VRRM,Verra Mobility Corp,16.34,1.10453,$2.50B,,United States of America,Information Technology,IT Services,Yes (Option Chain)
MGPI,MGP Ingredients Inc,113.69,0.13783,$2.50B,0.4222,United States of America,Consumer Staples,Beverages,Yes (Option Chain)
KW,Kennedy-Wilson Holdings Inc,18.12,0.46451,$2.50B,5.29801,United States of America,Real Estate,Real Estate Management & Development,Yes (Option Chain)
NOG,Northern Oil and Gas Inc,31.61,1.12857,$2.49B,3.16356,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
CPA,Copa Holdings SA,73.29,0.40685,$2.49B,,Panama,Industrials,Airlines,Yes (Option Chain)
AUB,Atlantic Union Bankshares Corp,33.36,0.29818,$2.49B,3.59712,United States of America,Financials,Banks,Yes (Option Chain)
CVLT,CommVault Systems Inc,55.52,0.23933,$2.49B,,United States of America,Information Technology,Software,Yes (Option Chain)
RKLB,Rocket Lab USA Inc,5.3,4.52461,$2.49B,,United States of America,Industrials,Aerospace & Defense,No
MNTK,Montauk Renewables Inc,17.3,0.45058,$2.48B,,United States of America,Utilities,Independent Power and Renewable Electricity Producers,No
FSS,Federal Signal Corp.,40.95,0.27176,$2.48B,0.87912,United States of America,Industrials,Machinery,Yes (Option Chain)
PCRX,Pacira BioSciences Inc,54.06,0.45477,$2.48B,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
KD,Kyndryl Holdings Inc,10.89,2.77758,$2.47B,,United States of America,Information Technology,IT Services,No
SITM,SiTime Corp,115.89,0.2453,$2.47B,,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,No
LFST,LifeStance Health Group Inc,6.54,0.71321,$2.46B,,United States of America,Health Care,Health Care Providers & Services,No
FORM,FormFactor Inc,31.8,0.41001,$2.45B,,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
STNG,Scorpio Tankers Inc,41.2,1.30788,$2.45B,0.97087,Monaco,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
FUN,Cedar Fair LP,42.9,0.40648,$2.45B,,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
NEX,NexTier Oilfield Solutions Inc,10.02,3.32501,$2.45B,,United States of America,Energy,Energy Equipment & Services,Yes (Option Chain)
SHOO,Steven Madden Ltd,30.96,0.83467,$2.45B,2.71318,United States of America,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Yes (Option Chain)
CHGG,Chegg Inc,19.34,3.37784,$2.44B,,United States of America,Consumer Discretionary,Diversified Consumer Services,Yes (Option Chain)
EVGO,EVgo Inc,9.21,2.89374,$2.44B,,United States of America,Consumer Discretionary,Specialty Retail,No
AMEH,Apollo Medical Holdings Inc,43.2,0.25876,$2.44B,,United States of America,Health Care,Health Care Providers & Services,No
IHS,IHS Holding LTD,7.44,0.13829,$2.44B,,United Kingdom,Communication Services,Diversified Telecommunication Services,No
